hotel_name,website,email,phone,city,state,source_url,category,notes
"Gulf Coast Inn",https://www.athomeinns.com/gulf-coast-home,gulfcoastinn@athomeinns.com,(850) 932-2222,Gulf Breeze,FL,https://www.athomeinns.com/gulf-coast-home,motel,likely_owner_or_manager | brand:independent
"Arizona Inn",https://www.arizonainn.com,reservations@arizonainn.com,520-325-1541,Tucson,AZ,https://www.arizonainn.com,boutique_hotel,generic_contact_email | brand:independent
"Canyon Inn Motel",https://www.canyoninnmotel.com,501canyoninn@gmail.com,928-774-7301,Flagstaff,AZ,https://www.canyoninnmotel.com,motel,likely_owner_or_manager | brand:independent
"Blue Swallow Motel",https://www.blueswallowmotel.com,blueswallowmotel@gmail.com,575-461-9849,Tucumcari,NM,https://www.blueswallowmotel.com,motel,likely_owner_or_manager | brand:independent
"Santa Fe Motel & Inn",https://www.santafemotel.com,info@santafemotel.com,(505) 982-1039,Santa Fe,NM,https://www.santafemotel.com,motel,generic_contact_email | brand:independent
"Little Canyon Inn",https://www.littlecanyoninn.com,littlecanyoninn@gmail.com,(719) 285-3934,Canon City,CO,https://www.littlecanyoninn.com,motel,likely_owner_or_manager | brand:independent
"Americana Motor Hotel",https://www.americanamotorhotel.com,hello@americanamotorhotel.com,(928) 833-3060,Flagstaff,AZ,https://www.americanamotorhotel.com,independent_hotel,generic_contact_email | brand:independent
"Murray Inn and Art Gallery",https://www.murrayinnandartgallery.com,murrayinnky@gmail.com,(270) 753-2682,Murray,KY,https://www.murrayinnandartgallery.com,motel,likely_owner_or_manager | brand:independent
"Seasons Inn Motel & Plaza",https://www.seasons-inn.com,seasonsinn@windstream.net,(706) 745-1631,Blairsville,GA,https://www.seasons-inn.com/contactUs.html,motel,likely_owner_or_manager | brand:independent
"The Regency Inn",https://www.eurekaregency.com,info@eurekaregency.com,,Eureka Springs,AR,https://www.eurekaregency.com,motel,generic_contact_email | brand:independent
"The Lodge",https://www.thelodgeeurekasprings.com,info@thelodgeeurekasprings.com,(479) 363-9700,Eureka Springs,AR,https://www.thelodgeeurekasprings.com/contact.htm,motel,generic_contact_email | brand:independent
"Fitzgerald's Motel",https://www.fitzgeraldsmotel.com,fitzgeraldsmotel@yahoo.com,(608) 253-1651,Wisconsin Dells,WI,https://www.fitzgeraldsmotel.com,motel,likely_owner_or_manager | brand:independent
"Dell Creek Motel",https://www.dellcreek.com,info@dellcreek.com,(608) 253-7301,Wisconsin Dells,WI,https://www.dellcreek.com,motel,generic_contact_email | brand:independent
"Crest Country Inn",https://www.crestcountryinn.com,stay@crestcountryinn.com,(319) 668-1522,Williamsburg,IA,https://www.crestcountryinn.com/ContactUs.html,motel,generic_contact_email | brand:independent
"McClusky Motor Motel",https://www.mccluskymotormotel.com,mccluskymotormotel@outlook.com,(701) 363-2507,McClusky,ND,https://www.mccluskymotormotel.com/contact-us,motel,likely_owner_or_manager | brand:independent
"Mozy Inn",https://www.mozyinn.com,moser@bektel.com,(701) 321-2451,Napoleon,ND,https://www.mozyinn.com,motel,likely_owner_or_manager | brand:independent
"Little Missouri Inn & Suites",https://www.newtownlmis.com,gm@newtownlmis.com,(701) 627-4488,New Town,ND,https://www.newtownlmis.com/location,limited_service_hotel,likely_owner_or_manager | brand:independent
"Anvil Hotel",https://www.anvilhotel.com,reservations@anvilhotel.com,(307) 733-3668,Jackson,WY,https://anvilhotel.com/contact/,boutique_hotel,generic_contact_email | brand:independent
"Wyoming Inn of Jackson Hole",https://www.wyominginn.com,guestservices@thewyominginn.com,(307) 734-0035,Jackson,WY,https://www.wyominginn.com,boutique_hotel,generic_contact_email | brand:independent
"Cedar Wood Inn",https://www.cedarwoodinn.com,info@cedarwoodinn.com,(605) 578-2725,Deadwood,SD,https://www.cedarwoodinn.com,motel,generic_contact_email | brand:independent
"Iron Horse Inn",https://www.ironhorseinndeadwood.com,info@ironhorseinndeadwood.com,(605) 717-2585,Deadwood,SD,https://ironhorseinndeadwood.com/contact/,boutique_hotel,generic_contact_email | brand:independent
"Aroostook Hospitality Inn",https://www.ahiwashburn.com,ahi.washburn@gmail.com,(207) 455-8567,Washburn,ME,https://www.ahiwashburn.com,motel,likely_owner_or_manager | brand:independent
"Nevada Inn",https://www.nevadainnmotel.com,reserve@nevadainnmotel.com,417-667-5273,Nevada,MO,https://www.nevadainnmotel.com,motel,generic_contact_email | brand:independent
"Four Kachinas Inn",https://www.fourkachinas.com,info@fourkachinas.com,505-988-1631,Santa Fe,NM,https://www.fourkachinas.com,boutique_hotel,generic_contact_email | brand:independent
"Adobe Pines Inn",https://www.adobepines.com,mail@adobepines.com,575-751-0947,Taos,NM,https://www.adobepines.com,boutique_hotel,generic_contact_email | brand:independent
"Turquoise Bear B&B",https://www.turquoisebear.com,innkeeper@turquoisebear.com,505-983-0798,Santa Fe,NM,https://www.turquoisebear.com,boutique_hotel,likely_owner_or_manager | brand:independent
"Red Horse B&B",https://www.redhorsebb.com,info@redhorsebb.com,505-967-7610,Albuquerque,NM,https://www.redhorsebb.com,boutique_hotel,generic_contact_email | brand:independent
"El Pueblo Lodge",https://www.stayintaos.com,info@stayintaos.com,575-758-9000,Taos,NM,https://www.stayintaos.com,boutique_hotel,generic_contact_email | brand:independent
"Alamo Inn",https://www.alamoinnnevada.com,thehappyholaday@icloud.com,775-725-3371,Alamo,NV,https://www.alamoinnnevada.com/contact-us.html,motel,likely_owner_or_manager | brand:independent
"Shady Motel",https://www.shadymotel.net,shadymotel1@gmail.com,(775) 726-3106,Caliente,NV,https://shadymotel.net/contact/,motel,likely_owner_or_manager | brand:independent
"Austin Motel",https://www.austinmotel.com,reservations@austinmotel.com,512-441-1157,Austin,TX,https://www.bunkhousehotels.com/austin-motel/contact,motel,generic_contact_email | brand:independent
"Sun Coast Inn",https://www.suncoastinn.com,suncoastinn@suncoastinn.com,(941) 475-6533,Englewood,FL,https://www.suncoastinn.com,motel,likely_owner_or_manager | brand:independent
"Sequim West Inn",https://www.sequimwestinn.com,Sequimwestinn.rv@gmail.com,360-683-4144,Sequim,WA,https://www.sequimwestinn.com,motel,likely_owner_or_manager | brand:independent
"Harborside Inn",https://www.harborsideinnpt.com,harborsideinn@gmail.com,360-385-7909,Port Townsend,WA,https://harborsideinnpt.com/contact/,boutique_hotel,likely_owner_or_manager | brand:independent
"Boothill Inn & Suites",https://www.boothillinn.com,Lacey.gardner@boothillinn.com,(406) 245-2000,Billings,MT,https://www.boothillinn.com/contact,independent_hotel,likely_owner_or_manager | brand:independent
"Cedar Crest Inn",https://www.cedarcrestinn.com,stay@cedarcrestinn.com,(828) 252-1389,Asheville,NC,https://www.cedarcrestinn.com,boutique_hotel,generic_contact_email | brand:independent
"Admiral Motor Inn",https://www.admiralmotorinn.com,info@admiralmotorinn.com,843-448-7435,Myrtle Beach,SC,https://www.admiralmotorinn.com,motel,generic_contact_email | brand:independent
"Starlight Motor Inn",https://www.starlightchs.com,info@starlightchs.com,(843) 874-2843,North Charleston,SC,https://www.starlightchs.com/contact,motel,generic_contact_email | brand:independent
"Outer Banks Motel",https://www.outerbanksmotel.com,obmotel@aol.com,(252) 995-5601,Buxton,NC,https://www.outerbanksmotel.com/locations,motel,likely_owner_or_manager | brand:independent
"Natchez Grand Hotel",https://www.natchezgrandhotel.com,dclifton@natchez.com,(601) 446-9994,Natchez,MS,https://www.natchezgrandhotel.com/contact,boutique_hotel,likely_owner_or_manager | brand:independent
"Adventure Inn Moab",https://www.adventureinnmoab.com,info@adventureinnmoab.com,(435) 259-6122,Moab,UT,https://www.adventureinnmoab.com/budget-motel-in-moab-contact-us.html,motel,generic_contact_email | brand:independent
"Siesta Motel",https://www.siestamotel.com,Marlene_Haddon@siestamotel.com,(970) 422-5542,Durango,CO,https://www.siestamotel.com,motel,likely_owner_or_manager | brand:independent
"Motel Long Lake & Cottages",https://www.motellonglake.com,reservations@motellonglake.com,(518) 624-2613,Long Lake,NY,https://www.motellonglake.com/home,motel,generic_contact_email | brand:independent
"Gonzo Inn",https://www.gonzoinn.com,info@gonzoinn.com,435-259-2515,Moab,UT,https://gonzoinn.com/contact-us/,boutique_hotel,generic_contact_email | brand:independent
"Mitchell Creek Inn",https://www.mitchellcreek.com,mitchellcreekinn@gmail.com,(231) 947-9330,Traverse City,MI,https://www.mitchellcreek.com,motel,likely_owner_or_manager | brand:independent
"Western Inn Motel",https://www.mywesterninn.com,info@westerninn.com,(717) 334-1339,Gettysburg,PA,https://www.mywesterninn.com,motel,generic_contact_email | brand:independent
"Shearwater Inn",https://www.theshearwaterinn.com,stay@theshearwaterinn.com,,Lincoln City,OR,https://www.theshearwaterinn.com,motel,generic_contact_email | brand:independent
"Seagull Beachfront Motel",https://www.seagullmoteloregon.com,stay@seagullmoteloregon.com,(541) 994-2948,Lincoln City,OR,https://www.seagullmoteloregon.com,motel,generic_contact_email | brand:independent
"Sunbeam Motel",https://www.sunbeammotel.com,sunbeammotel@gmail.com,(805) 543-8141,San Luis Obispo,CA,https://www.sunbeammotel.com/contact-us.html,motel,likely_owner_or_manager | brand:independent
"Ester Lee Oceanview Inn",https://www.esterlee.com,Reservations@esterlee.com,(541) 897-8422,Lincoln City,OR,https://www.esterlee.com/contact-us,motel,generic_contact_email | brand:independent
"Newport Inn and Suites",https://www.newportinnoregon.com,reservations@newportinnsuites.com,(541) 265-4533,Newport,OR,https://www.newportinnoregon.com/contact-us,motel,generic_contact_email | brand:independent
"Bar Harbor Motel",https://www.barharbormotel.com,info@barharbormotel.com,207-288-3453,Bar Harbor,ME,https://www.barharbormotel.com,motel,generic_contact_email | brand:independent
"Cromwell Harbor Motel",https://www.cromwellharbor.com,info@cromwellharbor.com,207-288-3201,Bar Harbor,ME,https://www.cromwellharbor.com,motel,generic_contact_email | brand:independent
"Moorings Inn",https://www.mooringsinnwaterfront.com,mooringsinnwaterfront@gmail.com,207-244-5523,Southwest Harbor,ME,https://www.mooringsinnwaterfront.com,boutique_hotel,likely_owner_or_manager | brand:independent
"Acacia House Inn",https://www.acaciahouseinn.com,stay@acaciahouseinn.com,207-288-8122,Bar Harbor,ME,https://www.acaciahouseinn.com,boutique_hotel,generic_contact_email | brand:independent
"Sandwich Inn & Suites",https://www.sandwichinnandsuites.com,frontdesk@sandwichinnandsuites.com,(508) 888-0409,Sandwich,MA,https://www.sandwichinnandsuites.com/contact,independent_hotel,generic_contact_email | brand:independent
"Southfleet Motor Inn",https://www.southfleetmotorinn.com,info@southfleetmotorinn.com,508-349-3580,Wellfleet,MA,https://www.southfleetmotorinn.com/contact/,motel,generic_contact_email | brand:independent
"Charlroy Motel",https://www.charlroymotel.com,reservations@Charlroymotel.com,732-793-0712,Seaside Park,NJ,https://www.charlroymotel.com/contactus,motel,generic_contact_email | brand:independent
"Sea Breeze Inn",https://www.theseabreezeinn.com,leeza@theseabreezeinn.com,401-849-1211,Middletown,RI,https://theseabreezeinn.com/contact,boutique_hotel,likely_owner_or_manager | brand:independent
"The Galena Inn",https://www.galenainn.com,stay@victorianmansion.com,815-777-0675,Galena,IL,https://www.galenainn.com/contact/,boutique_hotel,generic_contact_email | brand:independent
"Irish Hollow",https://www.irishhollow.com,IrishHollow@gmail.com,815-777-6000,Galena,IL,https://www.irishhollow.com,boutique_hotel,likely_owner_or_manager | brand:independent
"Golden North Inn",https://www.goldennorthinn.com,info@goldennorthinn.com,(907) 479-6201,Fairbanks,AK,https://www.goldennorthinn.com/contact,motel,generic_contact_email | brand:independent
"Classen Inn",https://www.classeninn.com,hello@classeninn.com,405-429-7500,Oklahoma City,OK,https://www.classeninn.com/contact,boutique_hotel,generic_contact_email | brand:independent
"South Branch Inn",https://www.southbranchinn.com,southbranchinnwv@gmail.com,(304) 538-2033,Moorefield,WV,https://www.southbranchinn.com/contact-and-location,motel,likely_owner_or_manager | brand:independent
"Firefly Inn",https://www.fireflyinnwv.com,jen@fireflyinnwv.com,(304) 874-3666,Wardensville,WV,https://www.fireflyinnwv.com,boutique_hotel,likely_owner_or_manager | brand:independent
"Kamuela Inn",https://www.thekamuelainn.com,thekamuelainn@gmail.com,(808) 885-4243,Waimea,HI,https://www.thekamuelainn.com/contact-us/,boutique_hotel,likely_owner_or_manager | brand:independent
"Historic Wailuku Inn",https://www.mauiinn.com,bookings@mauiinn.com,808-244-5897,Wailuku,HI,https://www.mauiinn.com/contact-us/,boutique_hotel,generic_contact_email | brand:independent
"Discovery Inn",https://www.discoveryinn-ga.com,Jayanti.G.Patel@gmail.com,478-781-2810,Macon,GA,https://www.discoveryinn-ga.com,motel,likely_owner_or_manager | brand:independent
"Hamilton-Turner Inn",https://www.hamilton-turnerinn.com,info@hamilton-turnerinn.com,(912) 233-1833,Savannah,GA,https://www.hamilton-turnerinn.com,boutique_hotel,generic_contact_email | brand:independent
