Prospect Name,URL,Category,Contact Name,Contact Email/Form,Pitch Type (template #),Personalization Note Used,Date Sent,Follow-up 1 (Day 4),Follow-up 2 (Day 10),Status (queued/sent/replied/accepted/published/declined/no-response),Resulting Link URL,Anchor Text,Next Action,Notes
Hotel Speak,https://www.hotelspeak.com,Hotel marketing blog,(find named contact),https://www.hotelspeak.com/contact/,Practical guest post: the phone is still,,,,,queued,,hotel phone answering,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
HotelMinder,https://www.hotelminder.com,Hotel management site,(find named contact),https://www.hotelminder.com/contact,List in marketplace + contribute an expe,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Lodging Leaders Podcast,https://lodgingleaders.com,Podcast,(find named contact),https://lodgingleaders.com/contact/,Hotel investment/ops audience; pitch mis,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Huntsville/Madison County Chamber,https://hsvchamber.org,Chamber of commerce,(find named contact),https://hsvchamber.org/contact/,Join chamber -> member directory link + ,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
GetApp,https://www.getapp.com,SaaS directory,(find named contact),https://www.getapp.com/contact/,Auto-syndicates from Gartner Digital Mar,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Software Advice,https://www.softwareadvice.com,SaaS directory,(find named contact),https://www.softwareadvice.com/contact/,Same Gartner vendor portal as Capterra/G,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Product Hunt,https://www.producthunt.com,Launch platform,(find named contact),https://www.producthunt.com/about,Launch 'Ava — AI front desk phone agent ,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Crunchbase,https://www.crunchbase.com,Company database,(find named contact),https://about.crunchbase.com/contact-us/,Authoritative company profile; cited by ,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
There's An AI For That,https://theresanaiforthat.com,AI directory,(find named contact),https://theresanaiforthat.com/contact/,High-traffic AI directory; submit under ,,,,,queued,,AI phone agent for hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Bing Places,https://www.bingplaces.com,Local directory,(find named contact),https://www.bingplaces.com,Import from GBP,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Apple Business Connect,https://businessconnect.apple.com,Local directory,(find named contact),https://businessconnect.apple.com,Claim listing for Apple Maps,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Hotel News Resource,https://www.hotelnewsresource.com,Hospitality publication,(find named contact),https://www.hotelnewsresource.com/contact.html,Press release distribution + founder byl,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Hotel Online,https://www.hotel-online.com,Hospitality publication,(find named contact),https://www.hotel-online.com/contact/,Submit launch/news releases; pitch trend,,,,,queued,,anchorforhotels.com,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Hotel Executive,https://www.hotelexecutive.com,Hospitality publication,(find named contact),https://www.hotelexecutive.com/contact,They run bylined exec articles with bio ,,,,,queued,,front desk overflow support,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
4Hoteliers,https://www.4hoteliers.com,Hospitality publication,(find named contact),https://www.4hoteliers.com/contact-us,Accepts contributed articles with author,,,,,queued,,hotel missed call recovery,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Alabama Restaurant & Hospitality Assn,https://alabamahospitality.org,State hospitality association,(find named contact),https://alabamahospitality.org/contact/,Home-state association; allied member di,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Starter Story,https://www.starterstory.com,Founder interviews,(find named contact),https://www.starterstory.com/contact,Founder interview: building an AI phone ,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Hospitality Daily (Josiah Mackenzie),https://www.hospitalitydaily.com,Podcast,(find named contact),https://www.hospitalitydaily.com,Short-form daily show; founder lessons o,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
The Modern Hotelier,https://www.themodernhotelier.com,Podcast,(find named contact),https://www.themodernhotelier.com/contact,Actively books hotel tech founders,,,,,queued,,Anchor for Hotels,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
Social Hospitality,https://socialhospitality.com,Hospitality blog,(find named contact),https://socialhospitality.com/contact/,Established write-for-us program; pitch ,,,,,queued,,after-hours hotel answering,"Write personal line, verify URL, send",Seeded by Phase 5; URL unverified (egress blocked) — confirm before sending
